piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Madrid--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136674000,0,0,0,0,,piece--0-0,Madrid,0,-3.83416,40.5638,-3.82909,40.5588,-3.83163,40.5613,,
Madrid--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136686000,0,0,0,0,,piece--0-1,Madrid,0,-3.83416,40.5588,-3.82909,40.5538,-3.83163,40.5563,,
Madrid--piece--0-10--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136703000,0,0,0,0,,piece--0-10,Madrid,0,-3.83416,40.5135,-3.82909,40.5085,-3.83163,40.511,,
Madrid--piece--0-11--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136716000,0,0,0,0,,piece--0-11,Madrid,0,-3.83416,40.5085,-3.82909,40.5034,-3.83163,40.5059,,
Madrid--piece--0-12--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136728000,0,0,0,0,,piece--0-12,Madrid,0,-3.83416,40.5034,-3.82909,40.4984,-3.83163,40.5009,,
Madrid--piece--0-13--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136743000,0,0,0,0,,piece--0-13,Madrid,0,-3.83416,40.4984,-3.82909,40.4933,-3.83163,40.4959,,
Madrid--piece--0-14--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136759000,0,0,0,0,,piece--0-14,Madrid,0,-3.83416,40.4933,-3.82909,40.4883,-3.83163,40.4908,,
Madrid--piece--0-15--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136771000,0,0,0,0,,piece--0-15,Madrid,0,-3.83416,40.4883,-3.82909,40.4833,-3.83163,40.4858,,
Madrid--piece--0-16--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136788000,0,0,0,0,,piece--0-16,Madrid,0,-3.83416,40.4833,-3.82909,40.4782,-3.83163,40.4808,,
Madrid--piece--0-17--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136803000,0,0,0,1,,piece--0-17,Madrid,0,-3.83416,40.4782,-3.82909,40.4732,-3.83163,40.4757,,
Madrid--piece--0-18--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136816000,0,0,0,1,,piece--0-18,Madrid,0,-3.83416,40.4732,-3.82909,40.4682,-3.83163,40.4707,,
Madrid--piece--0-19--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136832000,0,0,0,0,,piece--0-19,Madrid,0,-3.83416,40.4682,-3.82909,40.4631,-3.83163,40.4656,,
Madrid--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136854000,0,0,0,0,,piece--0-2,Madrid,0,-3.83416,40.5538,-3.82909,40.5487,-3.83163,40.5513,,
Madrid--piece--0-20--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136869000,0,0,0,0,,piece--0-20,Madrid,0,-3.83416,40.4631,-3.82909,40.4581,-3.83163,40.4606,,
Madrid--piece--0-21--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136888000,0,0,0,0,,piece--0-21,Madrid,0,-3.83416,40.4581,-3.82909,40.4531,-3.83163,40.4556,,
Madrid--piece--0-22--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136904000,0,0,0,0,,piece--0-22,Madrid,0,-3.83416,40.4531,-3.82909,40.448,-3.83163,40.4505,,
Madrid--piece--0-23--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136921000,0,0,0,0,,piece--0-23,Madrid,0,-3.83416,40.448,-3.82909,40.443,-3.83163,40.4455,,
Madrid--piece--0-24--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136935000,0,0,0,0,,piece--0-24,Madrid,0,-3.83416,40.443,-3.82909,40.438,-3.83163,40.4405,,
Madrid--piece--0-25--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136953000,0,0,0,0,,piece--0-25,Madrid,0,-3.83416,40.438,-3.82909,40.4329,-3.83163,40.4354,,
Madrid--piece--0-26--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136968000,0,0,0,0,,piece--0-26,Madrid,0,-3.83416,40.4329,-3.82909,40.4279,-3.83163,40.4304,,
Madrid--piece--0-27--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136987000,0,0,0,0,,piece--0-27,Madrid,0,-3.83416,40.4279,-3.82909,40.4228,-3.83163,40.4254,,
Madrid--piece--0-28--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544136999000,0,0,0,0,,piece--0-28,Madrid,0,-3.83416,40.4228,-3.82909,40.4178,-3.83163,40.4203,,
Madrid--piece--0-29--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137011000,0,0,0,0,,piece--0-29,Madrid,0,-3.83416,40.4178,-3.82909,40.4128,-3.83163,40.4153,,
Madrid--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137024000,0,0,0,0,,piece--0-3,Madrid,0,-3.83416,40.5487,-3.82909,40.5437,-3.83163,40.5462,,
Madrid--piece--0-30--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137038000,0,0,0,0,,piece--0-30,Madrid,0,-3.83416,40.4128,-3.82909,40.4077,-3.83163,40.4103,,
Madrid--piece--0-31--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137056000,0,0,0,0,,piece--0-31,Madrid,0,-3.83416,40.4077,-3.82909,40.4027,-3.83163,40.4052,,
Madrid--piece--0-32--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137072000,0,0,0,0,,piece--0-32,Madrid,0,-3.83416,40.4027,-3.82909,40.3977,-3.83163,40.4002,,
Madrid--piece--0-33--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137086000,0,0,1,2,,piece--0-33,Madrid,0,-3.83416,40.3977,-3.82909,40.3926,-3.83163,40.3952,,
Madrid--piece--0-34--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137100000,0,0,0,0,,piece--0-34,Madrid,0,-3.83416,40.3926,-3.82909,40.3876,-3.83163,40.3901,,
Madrid--piece--0-35--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137117000,0,0,0,0,,piece--0-35,Madrid,0,-3.83416,40.3876,-3.82909,40.3826,-3.83163,40.3851,,
Madrid--piece--0-36--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137132000,0,0,1,1,,piece--0-36,Madrid,0,-3.83416,40.3826,-3.82909,40.3775,-3.83163,40.38,,
Madrid--piece--0-37--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137150000,0,0,0,0,,piece--0-37,Madrid,0,-3.83416,40.3775,-3.82909,40.3725,-3.83163,40.375,,
Madrid--piece--0-38--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137169000,0,0,0,0,,piece--0-38,Madrid,0,-3.83416,40.3725,-3.82909,40.3675,-3.83163,40.37,,
Madrid--piece--0-39--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137189000,0,0,0,0,,piece--0-39,Madrid,0,-3.83416,40.3675,-3.82909,40.3624,-3.83163,40.3649,,
Madrid--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137237000,0,0,0,0,,piece--0-4,Madrid,0,-3.83416,40.5437,-3.82909,40.5387,-3.83163,40.5412,,
Madrid--piece--0-40--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137327000,0,0,0,0,,piece--0-40,Madrid,0,-3.83416,40.3624,-3.82909,40.3574,-3.83163,40.3599,,
Madrid--piece--0-41--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137351000,0,0,0,0,,piece--0-41,Madrid,0,-3.83416,40.3574,-3.82909,40.3523,-3.83163,40.3549,,
Madrid--piece--0-42--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137364000,0,0,0,5,,piece--0-42,Madrid,0,-3.83416,40.3523,-3.82909,40.3473,-3.83163,40.3498,,
Madrid--piece--0-43--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137386000,0,0,2,1,,piece--0-43,Madrid,0,-3.83416,40.3473,-3.82909,40.3423,-3.83163,40.3448,,
Madrid--piece--0-44--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137405000,0,0,0,0,,piece--0-44,Madrid,0,-3.83416,40.3423,-3.82909,40.3372,-3.83163,40.3398,,
Madrid--piece--0-45--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137421000,0,0,0,0,,piece--0-45,Madrid,0,-3.83416,40.3372,-3.82909,40.3322,-3.83163,40.3347,,
Madrid--piece--0-46--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137436000,0,0,0,0,,piece--0-46,Madrid,0,-3.83416,40.3322,-3.82909,40.3272,-3.83163,40.3297,,
Madrid--piece--0-47--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137454000,0,0,0,0,,piece--0-47,Madrid,0,-3.83416,40.3272,-3.82909,40.3221,-3.83163,40.3247,,
Madrid--piece--0-48--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137470000,0,0,0,0,,piece--0-48,Madrid,0,-3.83416,40.3221,-3.82909,40.3171,-3.83163,40.3196,,
Madrid--piece--0-49--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137482000,0,0,0,0,,piece--0-49,Madrid,0,-3.83416,40.3171,-3.82909,40.3121,-3.83163,40.3146,,
Madrid--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137498000,0,0,0,0,,piece--0-5,Madrid,0,-3.83416,40.5387,-3.82909,40.5336,-3.83163,40.5361,,
Madrid--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137517000,0,0,0,0,,piece--0-6,Madrid,0,-3.83416,40.5336,-3.82909,40.5286,-3.83163,40.5311,,
Madrid--piece--0-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137531000,0,0,0,0,,piece--0-7,Madrid,0,-3.83416,40.5286,-3.82909,40.5236,-3.83163,40.5261,,
Madrid--piece--0-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137546000,0,0,0,0,,piece--0-8,Madrid,0,-3.83416,40.5236,-3.82909,40.5185,-3.83163,40.521,,
Madrid--piece--0-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137557000,0,0,0,0,,piece--0-9,Madrid,0,-3.83416,40.5185,-3.82909,40.5135,-3.83163,40.516,,
Madrid--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137569000,0,0,0,0,,piece--1-0,Madrid,0,-3.82909,40.5638,-3.82402,40.5588,-3.82656,40.5613,,
Madrid--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137581000,0,0,0,0,,piece--1-1,Madrid,0,-3.82909,40.5588,-3.82402,40.5538,-3.82656,40.5563,,
Madrid--piece--1-10--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137593000,0,0,0,0,,piece--1-10,Madrid,0,-3.82909,40.5135,-3.82402,40.5085,-3.82656,40.511,,
Madrid--piece--1-11--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137612000,0,0,0,0,,piece--1-11,Madrid,0,-3.82909,40.5085,-3.82402,40.5034,-3.82656,40.5059,,
Madrid--piece--1-12--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137629000,0,0,0,0,,piece--1-12,Madrid,0,-3.82909,40.5034,-3.82402,40.4984,-3.82656,40.5009,,
Madrid--piece--1-13--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137642000,0,0,0,0,,piece--1-13,Madrid,0,-3.82909,40.4984,-3.82402,40.4933,-3.82656,40.4959,,
Madrid--piece--1-14--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137660000,0,0,0,0,,piece--1-14,Madrid,0,-3.82909,40.4933,-3.82402,40.4883,-3.82656,40.4908,,
Madrid--piece--1-15--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137674000,0,0,0,0,,piece--1-15,Madrid,0,-3.82909,40.4883,-3.82402,40.4833,-3.82656,40.4858,,
Madrid--piece--1-16--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137686000,0,0,0,0,,piece--1-16,Madrid,0,-3.82909,40.4833,-3.82402,40.4782,-3.82656,40.4808,,
Madrid--piece--1-17--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137702000,0,0,0,0,,piece--1-17,Madrid,0,-3.82909,40.4782,-3.82402,40.4732,-3.82656,40.4757,,
Madrid--piece--1-18--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137718000,0,0,2,1,,piece--1-18,Madrid,0,-3.82909,40.4732,-3.82402,40.4682,-3.82656,40.4707,,
Madrid--piece--1-19--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137736000,0,0,0,0,,piece--1-19,Madrid,0,-3.82909,40.4682,-3.82402,40.4631,-3.82656,40.4656,,
Madrid--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137751000,0,0,0,0,,piece--1-2,Madrid,0,-3.82909,40.5538,-3.82402,40.5487,-3.82656,40.5513,,
Madrid--piece--1-20--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137769000,0,0,0,0,,piece--1-20,Madrid,0,-3.82909,40.4631,-3.82402,40.4581,-3.82656,40.4606,,
Madrid--piece--1-21--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137787000,0,0,0,0,,piece--1-21,Madrid,0,-3.82909,40.4581,-3.82402,40.4531,-3.82656,40.4556,,
Madrid--piece--1-22--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137808000,0,0,0,0,,piece--1-22,Madrid,0,-3.82909,40.4531,-3.82402,40.448,-3.82656,40.4505,,
Madrid--piece--1-23--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137823000,0,0,0,0,,piece--1-23,Madrid,0,-3.82909,40.448,-3.82402,40.443,-3.82656,40.4455,,
Madrid--piece--1-24--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137847000,0,0,0,0,,piece--1-24,Madrid,0,-3.82909,40.443,-3.82402,40.438,-3.82656,40.4405,,
Madrid--piece--1-25--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137860000,0,0,0,0,,piece--1-25,Madrid,0,-3.82909,40.438,-3.82402,40.4329,-3.82656,40.4354,,
Madrid--piece--1-26--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137881000,0,0,0,0,,piece--1-26,Madrid,0,-3.82909,40.4329,-3.82402,40.4279,-3.82656,40.4304,,
Madrid--piece--1-27--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137898000,0,0,0,0,,piece--1-27,Madrid,0,-3.82909,40.4279,-3.82402,40.4228,-3.82656,40.4254,,
Madrid--piece--1-28--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137911000,0,0,0,0,,piece--1-28,Madrid,0,-3.82909,40.4228,-3.82402,40.4178,-3.82656,40.4203,,
Madrid--piece--1-29--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137926000,0,0,0,0,,piece--1-29,Madrid,0,-3.82909,40.4178,-3.82402,40.4128,-3.82656,40.4153,,
Madrid--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137943000,0,0,0,0,,piece--1-3,Madrid,0,-3.82909,40.5487,-3.82402,40.5437,-3.82656,40.5462,,
Madrid--piece--1-30--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137956000,0,0,0,0,,piece--1-30,Madrid,0,-3.82909,40.4128,-3.82402,40.4077,-3.82656,40.4103,,
Madrid--piece--1-31--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137976000,0,0,0,0,,piece--1-31,Madrid,0,-3.82909,40.4077,-3.82402,40.4027,-3.82656,40.4052,,
Madrid--piece--1-32--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544137991000,0,0,0,0,,piece--1-32,Madrid,0,-3.82909,40.4027,-3.82402,40.3977,-3.82656,40.4002,,
Madrid--piece--1-33--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138006000,0,0,0,0,,piece--1-33,Madrid,0,-3.82909,40.3977,-3.82402,40.3926,-3.82656,40.3952,,
Madrid--piece--1-34--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138028000,0,0,0,0,,piece--1-34,Madrid,0,-3.82909,40.3926,-3.82402,40.3876,-3.82656,40.3901,,
Madrid--piece--1-35--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138046000,0,0,0,0,,piece--1-35,Madrid,0,-3.82909,40.3876,-3.82402,40.3826,-3.82656,40.3851,,
Madrid--piece--1-36--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138059000,0,0,0,0,,piece--1-36,Madrid,0,-3.82909,40.3826,-3.82402,40.3775,-3.82656,40.38,,
Madrid--piece--1-37--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138077000,0,0,0,0,,piece--1-37,Madrid,0,-3.82909,40.3775,-3.82402,40.3725,-3.82656,40.375,,
Madrid--piece--1-38--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138093000,0,0,0,0,,piece--1-38,Madrid,0,-3.82909,40.3725,-3.82402,40.3675,-3.82656,40.37,,
Madrid--piece--1-39--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138109000,0,0,0,0,,piece--1-39,Madrid,0,-3.82909,40.3675,-3.82402,40.3624,-3.82656,40.3649,,
Madrid--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138124000,0,0,0,0,,piece--1-4,Madrid,0,-3.82909,40.5437,-3.82402,40.5387,-3.82656,40.5412,,
Madrid--piece--1-40--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138137000,0,0,0,0,,piece--1-40,Madrid,0,-3.82909,40.3624,-3.82402,40.3574,-3.82656,40.3599,,
Madrid--piece--1-41--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138153000,0,0,0,0,,piece--1-41,Madrid,0,-3.82909,40.3574,-3.82402,40.3523,-3.82656,40.3549,,
Madrid--piece--1-42--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138171000,0,0,0,2,,piece--1-42,Madrid,0,-3.82909,40.3523,-3.82402,40.3473,-3.82656,40.3498,,
Madrid--piece--1-43--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138187000,0,0,0,0,,piece--1-43,Madrid,0,-3.82909,40.3473,-3.82402,40.3423,-3.82656,40.3448,,
Madrid--piece--1-44--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138206000,0,0,0,0,,piece--1-44,Madrid,0,-3.82909,40.3423,-3.82402,40.3372,-3.82656,40.3398,,
Madrid--piece--1-45--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138220000,0,0,0,1,,piece--1-45,Madrid,0,-3.82909,40.3372,-3.82402,40.3322,-3.82656,40.3347,,
Madrid--piece--1-46--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138236000,0,0,0,1,,piece--1-46,Madrid,0,-3.82909,40.3322,-3.82402,40.3272,-3.82656,40.3297,,
Madrid--piece--1-47--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138249000,0,0,0,0,,piece--1-47,Madrid,0,-3.82909,40.3272,-3.82402,40.3221,-3.82656,40.3247,,
Madrid--piece--1-48--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138267000,0,0,0,0,,piece--1-48,Madrid,0,-3.82909,40.3221,-3.82402,40.3171,-3.82656,40.3196,,
Madrid--piece--1-49--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138280000,0,0,0,0,,piece--1-49,Madrid,0,-3.82909,40.3171,-3.82402,40.3121,-3.82656,40.3146,,
Madrid--piece--1-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138295000,0,0,0,0,,piece--1-5,Madrid,0,-3.82909,40.5387,-3.82402,40.5336,-3.82656,40.5361,,
Madrid--piece--1-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138312000,0,0,0,0,,piece--1-6,Madrid,0,-3.82909,40.5336,-3.82402,40.5286,-3.82656,40.5311,,
Madrid--piece--1-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138324000,0,0,0,0,,piece--1-7,Madrid,0,-3.82909,40.5286,-3.82402,40.5236,-3.82656,40.5261,,
Madrid--piece--1-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138338000,0,0,0,0,,piece--1-8,Madrid,0,-3.82909,40.5236,-3.82402,40.5185,-3.82656,40.521,,
Madrid--piece--1-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138351000,0,0,0,0,,piece--1-9,Madrid,0,-3.82909,40.5185,-3.82402,40.5135,-3.82656,40.516,,
Madrid--piece--10-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138366000,0,0,0,0,,piece--10-0,Madrid,0,-3.78347,40.5638,-3.7784,40.5588,-3.78093,40.5613,,
Madrid--piece--10-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138379000,0,0,0,0,,piece--10-1,Madrid,0,-3.78347,40.5588,-3.7784,40.5538,-3.78093,40.5563,,
Madrid--piece--10-10--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138394000,0,0,0,0,,piece--10-10,Madrid,0,-3.78347,40.5135,-3.7784,40.5085,-3.78093,40.511,,
Madrid--piece--10-11--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138407000,0,0,0,0,,piece--10-11,Madrid,0,-3.78347,40.5085,-3.7784,40.5034,-3.78093,40.5059,,
Madrid--piece--10-12--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138423000,0,0,0,0,,piece--10-12,Madrid,0,-3.78347,40.5034,-3.7784,40.4984,-3.78093,40.5009,,
Madrid--piece--10-13--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138437000,0,0,0,0,,piece--10-13,Madrid,0,-3.78347,40.4984,-3.7784,40.4933,-3.78093,40.4959,,
Madrid--piece--10-14--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138449000,0,0,0,0,,piece--10-14,Madrid,0,-3.78347,40.4933,-3.7784,40.4883,-3.78093,40.4908,,
Madrid--piece--10-15--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138461000,0,0,0,0,,piece--10-15,Madrid,0,-3.78347,40.4883,-3.7784,40.4833,-3.78093,40.4858,,
Madrid--piece--10-16--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544138476000,0,0,0,0,,piece--10-16,Madrid,0,-3.78347,40.4833,-3.7784,40.4782,-3.78093,40.4808,,
