piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Alcalá de Henares--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163129000,0,0,0,0,,piece--0-0,Alcalá de Henares,1,-3.41786,40.523,-3.41274,40.5179,-3.4153,40.5204,,
Alcalá de Henares--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163141000,0,0,0,0,,piece--0-1,Alcalá de Henares,1,-3.41786,40.5179,-3.41274,40.5127,-3.4153,40.5153,,
Alcalá de Henares--piece--0-10--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163155000,0,0,0,0,,piece--0-10,Alcalá de Henares,1,-3.41786,40.4717,-3.41274,40.4666,-3.4153,40.4692,,
Alcalá de Henares--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163167000,0,0,0,0,,piece--0-2,Alcalá de Henares,1,-3.41786,40.5127,-3.41274,40.5076,-3.4153,40.5102,,
Alcalá de Henares--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163185000,0,0,0,0,,piece--0-3,Alcalá de Henares,1,-3.41786,40.5076,-3.41274,40.5025,-3.4153,40.505,,
Alcalá de Henares--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163198000,0,0,0,0,,piece--0-4,Alcalá de Henares,1,-3.41786,40.5025,-3.41274,40.4974,-3.4153,40.4999,,
Alcalá de Henares--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163210000,0,0,0,0,,piece--0-5,Alcalá de Henares,1,-3.41786,40.4974,-3.41274,40.4922,-3.4153,40.4948,,
Alcalá de Henares--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163229000,0,0,0,0,,piece--0-6,Alcalá de Henares,1,-3.41786,40.4922,-3.41274,40.4871,-3.4153,40.4897,,
Alcalá de Henares--piece--0-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163242000,0,0,0,0,,piece--0-7,Alcalá de Henares,1,-3.41786,40.4871,-3.41274,40.482,-3.4153,40.4845,,
Alcalá de Henares--piece--0-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163256000,0,0,0,0,,piece--0-8,Alcalá de Henares,1,-3.41786,40.482,-3.41274,40.4769,-3.4153,40.4794,,
Alcalá de Henares--piece--0-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163270000,0,0,0,0,,piece--0-9,Alcalá de Henares,1,-3.41786,40.4769,-3.41274,40.4717,-3.4153,40.4743,,
Alcalá de Henares--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163286000,0,0,0,0,,piece--1-0,Alcalá de Henares,1,-3.41274,40.523,-3.40763,40.5179,-3.41018,40.5204,,
Alcalá de Henares--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163303000,0,0,0,1,,piece--1-1,Alcalá de Henares,1,-3.41274,40.5179,-3.40763,40.5127,-3.41018,40.5153,,
Alcalá de Henares--piece--1-10--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163324000,0,0,0,0,,piece--1-10,Alcalá de Henares,1,-3.41274,40.4717,-3.40763,40.4666,-3.41018,40.4692,,
Alcalá de Henares--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163340000,0,0,0,0,,piece--1-2,Alcalá de Henares,1,-3.41274,40.5127,-3.40763,40.5076,-3.41018,40.5102,,
Alcalá de Henares--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163356000,0,0,0,0,,piece--1-3,Alcalá de Henares,1,-3.41274,40.5076,-3.40763,40.5025,-3.41018,40.505,,
Alcalá de Henares--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163374000,0,0,0,0,,piece--1-4,Alcalá de Henares,1,-3.41274,40.5025,-3.40763,40.4974,-3.41018,40.4999,,
Alcalá de Henares--piece--1-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163388000,0,0,0,0,,piece--1-5,Alcalá de Henares,1,-3.41274,40.4974,-3.40763,40.4922,-3.41018,40.4948,,
Alcalá de Henares--piece--1-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163404000,0,0,0,0,,piece--1-6,Alcalá de Henares,1,-3.41274,40.4922,-3.40763,40.4871,-3.41018,40.4897,,
Alcalá de Henares--piece--1-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163419000,0,0,0,0,,piece--1-7,Alcalá de Henares,1,-3.41274,40.4871,-3.40763,40.482,-3.41018,40.4845,,
Alcalá de Henares--piece--1-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163434000,0,0,0,0,,piece--1-8,Alcalá de Henares,1,-3.41274,40.482,-3.40763,40.4769,-3.41018,40.4794,,
Alcalá de Henares--piece--1-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163449000,0,0,0,0,,piece--1-9,Alcalá de Henares,1,-3.41274,40.4769,-3.40763,40.4717,-3.41018,40.4743,,
Alcalá de Henares--piece--10-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163467000,0,0,0,0,,piece--10-0,Alcalá de Henares,1,-3.36668,40.523,-3.36156,40.5179,-3.36412,40.5204,,
Alcalá de Henares--piece--10-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544163483000,0,0,0,0,,piece--10-1,Alcalá de Henares,1,-3.36668,40.5179,-3.36156,40.5127,-3.36412,40.5153,,
