piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Rivas-Vaciamadrid--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903377000,0,0,0,0,,piece--0-0,Rivas-Vaciamadrid,1,-3.56147,40.376,-3.55647,40.3707,-3.55897,40.3733
Rivas-Vaciamadrid--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903386000,0,0,0,0,,piece--0-1,Rivas-Vaciamadrid,1,-3.56147,40.3707,-3.55647,40.3653,-3.55897,40.368
Rivas-Vaciamadrid--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903394000,0,0,0,0,,piece--0-2,Rivas-Vaciamadrid,1,-3.56147,40.3653,-3.55647,40.36,-3.55897,40.3627
Rivas-Vaciamadrid--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903405000,0,0,0,0,,piece--0-3,Rivas-Vaciamadrid,1,-3.56147,40.36,-3.55647,40.3547,-3.55897,40.3573
Rivas-Vaciamadrid--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903411000,0,0,0,0,,piece--0-4,Rivas-Vaciamadrid,1,-3.56147,40.3547,-3.55647,40.3493,-3.55897,40.352
Rivas-Vaciamadrid--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903416000,0,0,0,0,,piece--0-5,Rivas-Vaciamadrid,1,-3.56147,40.3493,-3.55647,40.344,-3.55897,40.3467
Rivas-Vaciamadrid--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903427000,0,0,0,0,,piece--0-6,Rivas-Vaciamadrid,1,-3.56147,40.344,-3.55647,40.3387,-3.55897,40.3413
Rivas-Vaciamadrid--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903439000,0,0,0,0,,piece--0-7,Rivas-Vaciamadrid,1,-3.56147,40.3387,-3.55647,40.3333,-3.55897,40.336
Rivas-Vaciamadrid--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903447000,0,0,0,0,,piece--0-8,Rivas-Vaciamadrid,1,-3.56147,40.3333,-3.55647,40.328,-3.55897,40.3307
Rivas-Vaciamadrid--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903453000,0,0,0,0,,piece--0-9,Rivas-Vaciamadrid,1,-3.56147,40.328,-3.55647,40.3227,-3.55897,40.3253
Rivas-Vaciamadrid--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903458000,0,0,0,0,,piece--1-0,Rivas-Vaciamadrid,1,-3.55647,40.376,-3.55146,40.3707,-3.55396,40.3733
Rivas-Vaciamadrid--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543903469000,1580.34,1,0,0,,piece--1-1,Rivas-Vaciamadrid,1,-3.55647,40.3707,-3.55146,40.3653,-3.55396,40.368
